model,term,MAIN,SENS,sign_MAIN,sign_SENS,sign_match
HIT6,CYCLE2,3.002921069887735,2.381352403417445,1,1,TRUE
HIT6,CYCLE3,-0.6516973375896435,-1.0109632205001462,-1,-1,TRUE
HIT6,MONTH.L,-13.596560199135457,-11.923016410703628,-1,-1,TRUE
HIT6,MONTH.Q,0.2285951602113857,0.8729210361151263,1,1,TRUE
HIT6,MONTH.C,-2.705664230737308,-2.631175370129559,-1,-1,TRUE
HIT6,MONTH^4,-0.5085503795332126,-0.45484867358017556,-1,-1,TRUE
MMDs,CYCLE2,-1.0302311777009998,-0.8161078029077765,-1,-1,TRUE
MMDs,CYCLE3,-2.086515725839792,-1.8638493817096566,-1,-1,TRUE
MMDs,MONTH.L,-6.531784985497633,-6.149165818923736,-1,-1,TRUE
MMDs,MONTH.Q,5.081141519725555,5.052546898058481,1,1,TRUE
MMDs,MONTH.C,-2.6958138242406937,-2.749844764472898,-1,-1,TRUE
MMDs,MONTH^4,0.479513244178575,0.5123619147583545,1,1,TRUE
